mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-576-5p	1	6	10	2	6	2	0	4	3	4	0	3	6
hsa-miR-577	0	1	0	3	2	0	3	0	0	0	0	3	2
hsa-miR-578	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5787	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-579-3p	0	4	1	0	3	1	0	0	0	2	0	0	2
hsa-miR-579-5p	1	9	8	9	8	4	0	10	5	0	0	8	5
hsa-miR-580-3p	0	7	1	0	2	0	0	4	0	0	0	3	4
hsa-miR-580-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-581	1	4	2	0	0	0	0	1	2	0	0	0	7
hsa-miR-582-3p	0	4	1	4	3	6	1	5	2	4	0	5	26
hsa-miR-582-5p	0	0	0	0	0	0	0	0	0	2	0	1	3
hsa-miR-583	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-584-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-584-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-585-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-585-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-586	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-587	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-588	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-589-3p	0	0	1	0	2	0	0	2	0	0	0	0	0
hsa-miR-589-5p	0	52	50	55	29	14	7	66	26	9	0	26	42
hsa-miR-590-3p	1	53	15	3	7	14	2	9	3	10	8	8	44
hsa-miR-590-5p	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-591	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-592	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-593-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-593-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-595	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-596	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-597-3p	0	1	3	3	1	0	1	1	0	0	0	2	0
hsa-miR-597-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-598-3p	0	93	40	11	12	15	7	42	19	10	0	16	65
hsa-miR-598-5p	0	1	0	1	0	0	0	2	0	0	0	2	1
hsa-miR-599	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-600	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-601	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-602	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-603	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-604	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-605-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-605-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6068	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6069	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-607	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6070	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6071	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6072	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6073	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6074	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6075	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6076	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6077	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6078	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6079	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-608	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6080	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6081	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6082	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6083	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6084	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6085	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6086	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6087	0	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-6088	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6089	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-609	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6090	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-610	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-611	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-612	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6124	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6125	0	1	1	3	1	1	0	1	0	0	0	3	3
hsa-miR-6126	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6127	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6128	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6129	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-613	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6130	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6131	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6132	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6133	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6134	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-614	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-615-3p	0	1	0	0	0	0	0	0	0	0	0	1	3
hsa-miR-615-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-616-3p	0	0	2	0	0	1	0	0	3	1	0	1	0
hsa-miR-616-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6165	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-617	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-618	0	0	0	1	1	0	0	0	0	0	0	0	1
hsa-miR-619-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-619-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-620	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-621	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-622	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-623	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-624-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-624-5p	0	1	1	1	1	0	0	0	0	0	0	1	0
hsa-miR-625-3p	1	0	1	0	0	0	0	0	2	0	0	2	1
hsa-miR-625-5p	0	0	0	3	5	1	1	0	2	1	0	5	1
hsa-miR-626	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-627-3p	0	5	0	0	0	0	0	0	1	1	0	0	1
hsa-miR-627-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-628-3p	1	11	3	1	6	9	3	10	6	4	0	8	19
hsa-miR-628-5p	0	7	3	4	0	1	0	3	0	0	0	2	8
hsa-miR-629-3p	2	4	0	0	0	2	0	4	2	0	0	0	2
hsa-miR-629-5p	76	291	453	365	433	186	79	482	452	136	2	578	486
hsa-miR-630	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-631	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-632	1	2	0	2	1	1	3	2	3	2	0	5	1
hsa-miR-633	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-634	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-635	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-636	0	1	0	0	2	0	0	3	0	0	0	1	0
hsa-miR-637	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-638	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-639	0	0	0	1	1	0	0	0	1	0	0	0	0
hsa-miR-640	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-641	0	2	3	8	9	2	0	2	0	0	0	2	6
hsa-miR-642a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-642a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-642b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-642b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-643	0	2	2	3	3	2	0	1	0	0	0	0	3
hsa-miR-644a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-645	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-646	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-647	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-648	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-649	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6499-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6499-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-650	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6501-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6501-5p	1	18	43	3	9	5	2	9	2	3	0	0	8
hsa-miR-6502-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6502-5p	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6503-3p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6503-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6504-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6504-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-5p	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-6506-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6506-5p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6507-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6507-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6508-3p	0	0	0	0	0	2	0	1	0	0	0	0	0
hsa-miR-6508-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6509-3p	0	1	0	3	0	1	0	0	0	0	0	0	0
hsa-miR-6509-5p	0	0	1	0	0	3	0	2	0	0	0	1	1
hsa-miR-651-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-651-5p	0	38	16	4	6	12	4	21	5	10	0	11	43
hsa-miR-6510-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6511b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6512-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6512-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6513-3p	0	0	0	0	0	1	0	2	2	1	0	1	2
hsa-miR-6513-5p	1	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-6514-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6514-5p	1	2	3	4	10	1	0	4	0	0	0	7	1
hsa-miR-6515-3p	0	1	0	7	0	0	0	1	0	0	0	0	0
hsa-miR-6515-5p	0	0	0	1	1	0	1	0	0	0	0	1	0
hsa-miR-6516-3p	15	21	12	17	14	31	34	65	7	10	2	5	17
hsa-miR-6516-5p	16	6	8	5	3	10	6	21	2	3	0	2	7
hsa-miR-652-3p	6	83	61	54	29	51	10	138	43	26	0	39	74
hsa-miR-652-5p	0	2	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-653-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-654-3p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-654-5p	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-655-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-657	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-658	0	0	0	0	4	0	1	1	0	1	0	0	0
hsa-miR-659-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-659-5p	0	3	6	3	1	9	0	11	4	2	0	0	19
hsa-miR-660-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-660-5p	2	79	75	33	67	35	6	62	37	23	0	57	122
hsa-miR-661	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-662	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-663a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-663b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-664a-3p	1	26	11	30	6	41	2	223	14	13	0	5	54
hsa-miR-664a-5p	18	29	49	63	12	57	24	157	72	40	0	30	128
hsa-miR-664b-3p	1	0	2	1	0	0	4	4	0	1	0	0	0
hsa-miR-664b-5p	12	1	2	6	2	15	16	20	27	7	0	5	13
hsa-miR-665	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-668-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-668-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-670-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-670-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-671-3p	8	27	86	200	94	22	4	49	27	9	0	93	42
hsa-miR-671-5p	1	13	15	20	25	7	4	14	9	2	0	13	11
hsa-miR-6715a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	1	0	0	0	0	0	0	0	1	1	0	4	0
hsa-miR-6716-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6717-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6718-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6719-3p	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6721-5p	0	1	2	1	0	0	0	0	1	0	0	0	0
hsa-miR-6722-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6723-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6726-3p	0	1	1	0	0	0	1	4	0	4	0	5	2
hsa-miR-6726-5p	0	0	0	1	1	1	0	0	1	0	0	0	1
hsa-miR-6727-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-5p	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6728-3p	2	0	2	0	0	1	0	0	0	0	0	0	0
hsa-miR-6728-5p	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6729-3p	0	0	0	0	0	0	0	0	1	0	1	1	0
hsa-miR-6729-5p	0	0	0	4	2	0	0	0	0	2	0	2	1
hsa-miR-6730-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6730-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-3p	1	0	0	1	0	2	1	3	0	0	0	2	0
hsa-miR-6731-5p	0	1	1	1	2	1	0	4	1	0	0	3	1
hsa-miR-6732-3p	0	0	0	2	1	2	0	2	0	0	0	2	1
hsa-miR-6732-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6733-3p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6733-5p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6734-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6734-5p	0	0	0	0	0	1	1	0	1	0	0	0	2
hsa-miR-6735-3p	0	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-6735-5p	0	1	0	0	0	1	0	0	1	0	0	0	1
hsa-miR-6736-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6737-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-3p	0	1	3	0	0	0	0	2	4	0	0	0	0
hsa-miR-6738-5p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-5p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6740-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6740-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-3p	1	5	10	3	1	7	0	7	4	2	0	7	3
hsa-miR-6741-5p	0	0	0	1	0	0	1	1	0	0	0	2	0
hsa-miR-6742-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6742-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6743-3p	0	0	0	3	0	2	0	3	0	0	0	1	0
hsa-miR-6743-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6745	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6747-3p	2	2	9	18	10	7	1	16	3	3	0	9	4
hsa-miR-6747-5p	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-6748-3p	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-miR-6748-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	0	0	0	1	0	0	0	4	0	0	0	0	0
hsa-miR-6749-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-675-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-675-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6750-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6750-5p	0	0	0	1	0	0	0	0	0	0	0	2	0
hsa-miR-6751-3p	0	0	1	1	0	0	0	0	0	1	0	0	0
hsa-miR-6751-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6752-3p	0	0	3	1	1	1	2	9	0	0	0	0	4
hsa-miR-6752-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6753-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6754-3p	1	0	1	1	0	1	0	1	5	0	0	1	0
hsa-miR-6754-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-5p	0	2	0	1	2	1	0	0	0	0	0	0	0
hsa-miR-6756-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6757-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	0	0	0	0	2	2	0	0	0	0	0	1	1
hsa-miR-6758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6759-5p	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-676-3p	0	0	1	0	1	0	0	10	2	0	0	0	6
hsa-miR-676-5p	0	0	2	1	0	1	0	1	2	1	0	3	2
hsa-miR-6760-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6760-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6763-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6763-5p	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6764-3p	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-6764-5p	0	1	0	2	0	0	0	2	0	0	0	0	0
hsa-miR-6765-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6765-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6766-3p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-6766-5p	0	0	2	3	2	2	0	0	0	0	0	2	0
hsa-miR-6767-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-5p	0	0	0	1	1	0	0	0	0	0	0	2	0
hsa-miR-6768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	0	0	3	5	1	4	1	15	6	1	0	3	3
hsa-miR-6769b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6770-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6771-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6771-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6772-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6772-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6773-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6774-3p	0	0	0	1	0	0	1	1	2	0	0	0	0
hsa-miR-6774-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6775-3p	0	1	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6775-5p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6776-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6776-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6777-5p	0	0	2	0	1	0	0	4	1	0	0	0	1
hsa-miR-6778-3p	0	0	0	0	0	1	0	0	2	0	0	0	0
hsa-miR-6778-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6779-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6779-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6780a-3p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6780a-5p	0	1	0	1	0	2	1	1	0	0	0	1	2
hsa-miR-6780b-3p	0	1	0	0	1	0	1	1	0	0	0	0	2
hsa-miR-6780b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6781-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6781-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6782-3p	0	0	1	0	0	0	0	1	0	0	0	5	0
hsa-miR-6782-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6783-3p	0	1	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6783-5p	0	0	1	4	0	0	0	0	0	0	0	0	0
hsa-miR-6784-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6784-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6785-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6785-5p	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6786-3p	0	3	8	2	0	2	2	2	5	1	0	1	3
hsa-miR-6786-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6787-3p	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6787-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6788-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6788-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-3p	0	0	1	4	3	0	0	3	0	0	0	2	1
hsa-miR-6789-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6790-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6791-3p	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-6791-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6792-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6792-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6793-3p	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-6793-5p	0	1	3	0	1	1	3	1	3	0	0	3	0
hsa-miR-6794-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6794-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6795-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6795-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6796-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6796-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
